com.samsung.health.device_profile,6311013,9
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,legacy_deviceuuid,connectivity_type,deviceuuid,pkg_name,accessory_type,fixed_name,datauuid
Samsung,,,,,,,,360001,2026-03-16 09:13:09.680,2025-03-09 03:05:42.816,My Device,SM-S938B,,,5sl+lZ1Pby,com.sec.android.app.shealth,,S25 Ultra de Andrés Daniel,7973a8ff-ce1a-1bc4-3ead-30da5fe399f1,
Combined,,,,,,,,0,2025-03-09 03:19:03.394,2025-03-09 03:19:03.394,Combined,Combined,,,VfS0qUERdZ,com.sec.android.app.shealth,,S25 Ultra de Andrés Daniel,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,,,0,2025-03-09 03:19:03.431,2025-03-09 03:19:03.431,all_target,all_target,,,Mk66SbFqK1,com.sec.android.app.shealth,,S25 Ultra de Andrés Daniel,471ca32b-a665-1e9e-7c27-7ac69485dc05,
Samsung Electronics,1,,108,10061,1,0e2f814c-f3f5-4a62-9efd-79a96271e279.capability.json,,360003,2026-03-19 07:09:52.075,2024-11-19 12:36:02.920,Galaxy Watch7,SM-L300,,,jkrxtcKrsf,com.sec.android.app.shealth,,,0e2f814c-f3f5-4a62-9efd-79a96271e279,
Samsung,,,,,,,,360001,2022-02-12 01:36:31.638,2022-02-12 01:36:31.638,My Device,SM-G990E,,,yJFPNrhfsu,com.sec.android.app.shealth,,S21 FE de Andrés Daniel,67220b1c-10b5-ab3e-28e2-a750cba88c0f,
Samsung Electronics,1,,103,10053,1,8d0ab684-5ad9-4446-aa7c-6e9ebbc73ecd.capability.json,,360003,2022-04-17 23:26:39.523,2022-02-12 01:05:05.682,Galaxy Watch4 Classic,SM-R890,,,JV8/RZtlzk,com.sec.android.app.shealth,,Galaxy S21 FE 5G,8d0ab684-5ad9-4446-aa7c-6e9ebbc73ecd,
Samsung,,,,,,,,360001,2022-06-17 20:59:46.051,2022-06-17 20:59:46.051,My Device,SM-G781B,,,TSz5cXWOpN,com.sec.android.app.shealth,,S20 FE de Andrés Daniel,3fdb25a1-1a62-ae20-fdf4-f4d0b4e14b8c,
Samsung Electronics,1,,103,10053,1,3b367c62-a702-4da3-a859-efcefdd169fc.capability.json,,360003,2023-02-03 01:17:59.308,2022-06-18 02:07:29.788,Galaxy Watch4 Classic,SM-R890,,,XQMJU+zalx,com.sec.android.app.shealth,,S20 FE de Andrés Daniel,3b367c62-a702-4da3-a859-efcefdd169fc,
Samsung,,,,,,,,360001,2025-04-27 23:27:42.464,2023-02-21 01:15:03.483,My Device,SM-G990E,,,AxW6kiZDC9,com.sec.android.app.shealth,,S21 FE de Andrés Daniel,289d9b9d-9a57-dfc3-2b95-67a691541823,
Samsung,,,,,,,,360001,2023-11-29 21:48:43.955,2023-11-29 21:48:43.955,My Device,SM-X510,,,CCxeMrOYhE,com.sec.android.app.shealth,,Tab S9 FE de Andrés Daniel,909b8495-581b-287e-f5fa-c3897940010f,
Samsung Electronics,,,,,,,,360003,2024-06-05 11:21:18.808,2024-06-05 11:21:18.808,Strava,www.strava.com,,,+BS/fJiRhn,com.sec.android.app.shealth,,S21 FE de Andrés Daniel,21550dcd-d475-75cf-86ac-02811389011b,
Samsung Electronics,1,,103,10053,1,5f08a42b-dd8b-447c-b588-e95b1a179afe.capability.json,62930070,360003,2025-02-22 16:47:13.814,2023-02-21 22:39:27.417,Galaxy Watch4 Classic,SM-R890,,,v8fPmWJTef,com.sec.android.app.shealth,,S21 FE de Andrés Daniel,5f08a42b-dd8b-447c-b588-e95b1a179afe,
Samsung Electronics,1,62660010,104,10055,1,f2f7ac1f-540c-42bc-8bdf-1508d69b2517.capability.json,62670031,360003,2024-06-02 11:29:38.846,2024-05-28 03:23:37.884,Galaxy Watch5,SM-R900,,,zJKoN5nk2r,com.sec.android.app.shealth,,,f2f7ac1f-540c-42bc-8bdf-1508d69b2517,
Samsung Electronics,1,62670070,104,10055,1,7024e8cf-57a1-421b-894b-9fd1a90d40cb.capability.json,62670031,360003,2024-07-08 01:18:07.057,2024-06-29 01:48:48.158,Galaxy Watch5,SM-R900,,,4BMzcMaY+C,com.sec.android.app.shealth,,,7024e8cf-57a1-421b-894b-9fd1a90d40cb,
Samsung,,,,,,,,360001,2025-04-28 01:54:57.127,2025-04-28 01:54:57.127,My Device,SM-G990E,,,ZNKGeMHNMx,com.sec.android.app.shealth,,S21 FE de Andrés Daniel,268aaf7a-ba0f-3e6b-36e5-5a583eb1d0d3,
Xiaomi,,,,,,,,360001,2024-07-18 02:07:09.778,2024-05-28 03:33:10.759,My Device,23117RA68G,,,CTi2cMV49T,com.sec.android.app.shealth,,Redmi Note 13 Pro,25a35adf-b884-e824-8b6f-a8f816f5ecb8,
Samsung Electronics,1,62670070,104,10055,1,5b637a44-978e-44d7-ad90-253d533e2684.capability.json,62950170,360003,2025-04-28 02:12:22.789,2024-07-18 02:45:15.090,Galaxy Watch5,SM-R900,,,ZwHrlOyfQ+,com.sec.android.app.shealth,,,5b637a44-978e-44d7-ad90-253d533e2684,
