com.samsung.health.respiratory_rate,6311013,2
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,average,lower_limit,update_time,create_time,client_data_id,upper_limit,client_data_ver,is_outlier,pplib_version,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-12-31 04:33:00.000,,799c2f92-ea3d-4060-bde8-42d7d95ee03e.binning_data.json,62800471,13.967091,0.0,2024-12-31 11:18:37.686,2024-12-31 11:18:37.686,,0.0,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2024-12-31 11:15:00.000,799c2f92-ea3d-4060-bde8-42d7d95ee03e,
62800471,2025-01-01 05:29:00.000,,bbf199f4-b1f9-4150-ba2c-86f2af7ea8b2.binning_data.json,62800471,13.129149,0.0,2025-01-01 13:48:34.821,2025-01-01 13:48:34.821,,0.0,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-01 13:29:00.000,bbf199f4-b1f9-4150-ba2c-86f2af7ea8b2,
62800471,2025-01-02 03:21:00.000,,9d28a8fb-002f-49f1-9bff-868a15ff50ed.binning_data.json,62800471,12.96863,12.770579,2025-01-02 11:07:38.538,2025-01-02 11:07:38.538,,13.868588,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-02 10:42:00.000,9d28a8fb-002f-49f1-9bff-868a15ff50ed,
62800471,2025-01-03 04:13:00.000,,18824142-9dc0-4bad-9687-1a1fedd7aed0.binning_data.json,62800471,13.214113,12.821506,2025-01-03 09:01:47.504,2025-01-03 09:01:47.504,,13.782527,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-03 08:55:00.000,18824142-9dc0-4bad-9687-1a1fedd7aed0,
62800471,2025-01-04 03:42:00.000,,540e53a1-c36c-4dc2-8bdf-a2aaa6cd5684.binning_data.json,62800471,13.636465,12.923351,2025-01-04 12:03:12.979,2025-01-04 12:03:12.979,,13.838566,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-04 11:38:00.000,540e53a1-c36c-4dc2-8bdf-a2aaa6cd5684,
62800471,2025-01-05 05:33:00.000,,b079e7f3-1df0-4638-afe8-15c456b7a024.binning_data.json,62800471,13.485642,12.97691,2025-01-05 12:10:31.369,2025-01-05 12:10:31.369,,13.817844,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-05 11:48:00.000,b079e7f3-1df0-4638-afe8-15c456b7a024,
62800471,2025-01-06 02:56:00.000,,e3970e0f-4759-4d1d-a008-a46f0cb82120.binning_data.json,62800471,13.770747,13.037409,2025-01-06 11:37:13.808,2025-01-06 11:37:13.808,,13.880867,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-06 11:07:00.000,e3970e0f-4759-4d1d-a008-a46f0cb82120,
62800471,2025-01-07 05:44:00.000,,19f3ed26-3fec-431c-962e-d87695048794.binning_data.json,62800471,12.944102,12.951239,2025-01-07 12:31:41.146,2025-01-07 12:31:41.146,,13.845617,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-07 12:06:00.000,19f3ed26-3fec-431c-962e-d87695048794,
62800471,2025-01-09 02:44:00.000,,b1bb5fcc-acae-45ea-817c-e1bf54e30db1.binning_data.json,62800471,14.775124,12.965094,2025-01-09 10:58:12.470,2025-01-09 10:58:12.470,,14.314102,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-09 10:31:00.000,b1bb5fcc-acae-45ea-817c-e1bf54e30db1,
62800471,2025-01-10 04:32:00.000,,7bc849c8-ea62-4db0-aa43-1e6ed04a7452.binning_data.json,62800471,14.674974,12.952268,2025-01-10 11:12:56.324,2025-01-10 11:12:56.324,,14.234387,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-10 10:42:00.000,7bc849c8-ea62-4db0-aa43-1e6ed04a7452,
62800471,2025-01-11 03:36:00.000,,b1c98e4b-d77c-4180-8775-13c7377cb1de.binning_data.json,62800471,14.076579,13.075489,2025-01-11 11:57:09.370,2025-01-11 11:57:09.370,,14.018684,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-11 11:32:00.000,b1c98e4b-d77c-4180-8775-13c7377cb1de,
62800471,2025-01-12 04:41:00.000,,f1148d98-ef94-4293-a7a0-dcc02720412d.binning_data.json,62800471,14.707606,12.959379,2025-01-12 11:39:56.854,2025-01-12 11:39:56.854,,14.262489,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-12 11:26:00.000,f1148d98-ef94-4293-a7a0-dcc02720412d,
62800471,2025-01-13 04:13:00.000,,52a41542-215d-4125-9887-2acf4aa68569.binning_data.json,62800471,14.1004305,13.062948,2025-01-13 11:29:00.263,2025-01-13 11:29:00.263,,14.016323,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-13 11:01:00.000,52a41542-215d-4125-9887-2acf4aa68569,
62800471,2025-01-14 05:22:00.000,,1ee4e957-95c4-4eb1-9c04-167298f92744.binning_data.json,62800471,13.656315,13.079645,2025-01-14 12:21:26.786,2025-01-14 12:21:26.786,,13.886269,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-14 11:46:00.000,1ee4e957-95c4-4eb1-9c04-167298f92744,
62900571,2025-01-15 05:04:00.000,,dc0b6293-4187-4dab-a767-0b8f55822f0a.binning_data.json,62900571,13.8651905,13.111396,2025-01-15 11:23:03.774,2025-01-15 11:23:03.774,,13.930259,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-15 11:17:00.000,dc0b6293-4187-4dab-a767-0b8f55822f0a,
62900571,2025-01-16 04:49:00.000,,d2c9de63-3dc9-43f1-a87e-339f78096e29.binning_data.json,62900571,13.623298,13.1397,2025-01-16 11:25:39.439,2025-01-16 11:25:39.439,,13.920294,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-16 11:18:00.000,d2c9de63-3dc9-43f1-a87e-339f78096e29,
62900571,2025-01-17 06:55:00.000,,ff5554a9-795a-4e1d-b7f5-700b4fa14251.binning_data.json,62900571,13.6717005,12.770579,2025-01-17 13:05:27.095,2025-01-17 13:05:27.095,,13.868588,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-17 13:00:00.000,ff5554a9-795a-4e1d-b7f5-700b4fa14251,
62900571,2025-01-18 06:15:00.000,,eff71a8b-7b68-4845-a09e-ee70f7cb5594.binning_data.json,62900571,13.471755,12.821506,2025-01-18 13:21:29.919,2025-01-18 13:21:29.919,,13.782527,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-18 12:58:00.000,eff71a8b-7b68-4845-a09e-ee70f7cb5594,
62900571,2025-01-21 03:59:00.000,,a0118185-284c-4a8d-a784-a4d30bc20641.binning_data.json,62900571,14.289278,12.976911,2025-01-21 09:58:15.729,2025-01-21 09:58:15.729,,13.817845,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-21 09:51:00.000,a0118185-284c-4a8d-a784-a4d30bc20641,
62900571,2025-01-22 03:54:00.000,,2cf4b720-1f48-44de-a2c2-ba5042cecbf6.binning_data.json,62900571,13.852797,13.03741,2025-01-22 10:44:09.909,2025-01-22 10:44:09.909,,13.880868,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-22 10:38:00.000,2cf4b720-1f48-44de-a2c2-ba5042cecbf6,
62900571,2025-01-23 04:28:00.000,,d90a9f52-cd29-460d-8fcc-84f08b50e213.binning_data.json,62900571,13.888977,13.03741,2025-01-23 09:47:37.326,2025-01-23 09:47:37.326,,13.880868,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-23 09:47:00.000,d90a9f52-cd29-460d-8fcc-84f08b50e213,
62900571,2025-01-24 04:29:00.000,,73bc274a-bf43-4a87-ab44-0d8ef69ead48.binning_data.json,62900571,13.970987,13.03741,2025-01-24 11:57:07.358,2025-01-24 11:57:07.358,,13.880868,,1,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-24 11:32:00.000,73bc274a-bf43-4a87-ab44-0d8ef69ead48,
62900571,2025-01-29 05:07:00.000,,f647f546-df48-4410-a146-40c68cdf3bce.binning_data.json,62900571,13.804313,13.307737,2025-01-29 10:04:29.445,2025-01-29 10:04:29.445,,13.8371105,,0,1.01.04,UTC-0500,v8fPmWJTef,,com.sec.android.app.shealth,2025-01-29 09:58:00.000,f647f546-df48-4410-a146-40c68cdf3bce,
