com.samsung.health.skin_temperature,6311013,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,34.53323,1193.2792,,2025-03-09 04:40:00.000,671e9c91-78f2-473a-a9e3-17a3306aa9b4.binning_data.json,180,31301,,,2025-03-09 12:05:57.719,2025-03-09 12:05:57.719,,,36.070267,32.90138,,34.53323,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-09 08:34:00.000,671e9c91-78f2-473a-a9e3-17a3306aa9b4,
,33.646103,1132.8436,34.53323,2025-03-10 04:36:00.000,108ef64d-7db0-4867-9f49-9fcdb5ec8610.binning_data.json,311,31301,,,2025-03-10 10:29:34.088,2025-03-10 10:29:34.088,,,35.0934,31.739712,,33.646103,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-10 10:04:00.000,108ef64d-7db0-4867-9f49-9fcdb5ec8610,
,33.249813,1106.7145,33.97132,2025-03-11 03:14:00.000,16fa3ace-c307-4859-b7ec-1c6f0322cc4a.binning_data.json,354,31301,,,2025-03-11 09:30:17.825,2025-03-11 09:30:17.825,,,35.590702,31.57901,,33.249813,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-11 09:24:00.000,16fa3ace-c307-4859-b7ec-1c6f0322cc4a,
,34.235687,1172.9404,33.669056,2025-03-12 04:30:00.000,d4b37e38-0944-4516-9d9a-e7b9f19ecc8b.binning_data.json,321,31301,,31.739712,2025-03-12 10:20:34.768,2025-03-12 10:20:34.768,,35.590702,35.38489,31.838228,,34.235687,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-12 10:07:00.000,d4b37e38-0944-4516-9d9a-e7b9f19ecc8b,
,33.28434,1110.2135,33.82505,2025-03-13 03:21:00.000,94c5b34f-880e-468b-958a-81aba813af41.binning_data.json,386,31301,,31.78897,2025-03-13 10:04:36.357,2025-03-13 10:04:36.357,,35.487797,35.720924,30.660679,,33.28434,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-13 10:04:00.000,94c5b34f-880e-468b-958a-81aba813af41,
,33.82328,1144.6354,33.69057,2025-03-14 03:51:00.000,008a303e-1444-4ebc-9ffd-cd97e9df388c.binning_data.json,322,31301,,31.718985,2025-03-14 09:29:22.712,2025-03-14 09:29:22.712,,35.565506,35.754677,32.710636,,33.82328,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-14 09:29:00.000,008a303e-1444-4ebc-9ffd-cd97e9df388c,
,32.80796,1077.2672,33.71337,2025-03-15 04:22:00.000,35b395a7-0c57-41e6-90ea-3aff1b737c09.binning_data.json,404,31301,,31.966896,2025-03-15 11:26:45.674,2025-03-15 11:26:45.674,,35.6128,35.079872,31.311634,,32.80796,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-15 11:26:00.000,35b395a7-0c57-41e6-90ea-3aff1b737c09,
,35.642445,1270.9221,33.5528,2025-03-16 06:41:00.000,403b243a-a63c-40f7-b9de-9be7a2183109.binning_data.json,385,31301,,31.835842,2025-03-16 13:31:35.505,2025-03-16 13:31:35.505,,35.50892,37.184357,34.076923,,35.642445,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-16 13:23:00.000,403b243a-a63c-40f7-b9de-9be7a2183109,
,34.329376,1179.724,33.854908,2025-03-17 04:45:00.000,8c8eedb2-6f33-4a47-9083-c853d938149e.binning_data.json,302,31301,,32.01343,2025-03-17 10:09:12.467,2025-03-17 10:09:12.467,,35.602474,35.833977,32.290607,,34.329376,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-17 10:08:00.000,8c8eedb2-6f33-4a47-9083-c853d938149e,
,34.12653,1165.4812,33.903233,2025-03-19 06:17:00.000,5641675e-05c6-4247-a764-01315b6f7b6b.binning_data.json,192,31301,,32.05303,2025-03-19 10:15:28.352,2025-03-19 10:15:28.352,,35.635548,35.61646,32.764156,,34.12653,UTC-0500,jkrxtcKrsf,,com.sec.android.app.shealth,2025-03-19 09:47:00.000,5641675e-05c6-4247-a764-01315b6f7b6b,
