com.samsung.shealth.activity.day_summary,6311013,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62930070,0,907000,6193,300,3953660,90,0,62950170,2025-04-02 02:23:56.907,10,2025-03-09 03:19:03.917,0.0,30,30,-1,907169,72,14,0,8,4680.3066,840000,271.0829,33c360ef-5fdd-416a-88c7-b8feeeaf9541.extra_data.json,5sl+lZ1Pby,52463,com.sec.android.app.shealth,3901197,86400000,33c360ef-5fdd-416a-88c7-b8feeeaf9541,2025-03-05 00:00:00.000,
0,62930070,0,0,6982,300,4233031,90,0,62930070,2025-03-31 07:06:53.149,10,2025-03-09 03:19:03.951,0.0,30,30,-1,540000,77,14,0,8,5350.1797,0,268.21,8753c409-00d2-42bc-9451-5c17fef6fd96.extra_data.json,5sl+lZ1Pby,137930,com.sec.android.app.shealth,4095101,86400000,8753c409-00d2-42bc-9451-5c17fef6fd96,2025-03-04 00:00:00.000,
0,62930070,0,644000,8966,300,5750058,90,0,62930070,2025-03-28 12:05:30.148,10,2025-03-09 03:19:04.061,0.0,30,30,-1,665634,105,10,0,8,6609.7407,240000,362.69812,5f534c1b-5f20-4601-a618-9fc26a76064f.extra_data.json,5sl+lZ1Pby,15512,com.sec.android.app.shealth,5734546,86400000,5f534c1b-5f20-4601-a618-9fc26a76064f,2025-03-01 00:00:00.000,
0,62930070,0,3133000,9955,300,5961926,90,0,62930070,2025-03-24 09:30:22.418,10,2025-03-09 03:19:04.205,0.0,30,30,-1,1605130,108,12,0,8,7524.145,1860000,485.8981,ad738932-9ced-4308-a01d-543488d68b54.extra_data.json,5sl+lZ1Pby,41219,com.sec.android.app.shealth,5920707,86400000,ad738932-9ced-4308-a01d-543488d68b54,2025-02-25 00:00:00.000,
0,62930070,0,0,4756,300,3004384,90,0,62930070,2025-03-23 07:07:32.300,10,2025-03-09 03:19:04.244,0.0,30,30,-1,240000,54,13,0,8,3557.0098,0,173.78001,3a233cb0-4ce8-4a0d-8e63-e4e84b311ddd.extra_data.json,5sl+lZ1Pby,28324,com.sec.android.app.shealth,2976060,86400000,3a233cb0-4ce8-4a0d-8e63-e4e84b311ddd,2025-02-24 00:00:00.000,
0,62930070,0,0,2911,300,1910996,90,0,62930070,2025-03-21 07:07:07.489,10,2025-03-09 03:19:04.279,0.0,30,30,-1,240000,34,10,0,8,2157.0,0,110.52999,251b19e8-cfad-4e3a-965a-1242fcf9e0b2.extra_data.json,5sl+lZ1Pby,4800,com.sec.android.app.shealth,1906196,86400000,251b19e8-cfad-4e3a-965a-1242fcf9e0b2,2025-02-23 00:00:00.000,
0,62930070,0,1679000,4643,300,2745650,90,0,62930070,2025-03-17 11:57:40.981,10,2025-03-09 03:19:04.507,0.0,30,30,-1,900000,50,9,0,8,3512.0308,0,179.90997,51a9f166-65ae-4e94-a863-82dd354ff2ee.extra_data.json,5sl+lZ1Pby,10634,com.sec.android.app.shealth,2735016,86400000,51a9f166-65ae-4e94-a863-82dd354ff2ee,2025-02-18 00:00:00.000,
0,62930070,0,6356000,8858,300,5621473,90,0,62930070,2025-03-16 14:02:31.787,10,2025-03-09 03:19:04.543,0.0,30,30,-1,732180,102,11,0,8,6672.5845,720000,406.94647,6170768e-5fec-4862-96c1-66c00ab3cad9.extra_data.json,5sl+lZ1Pby,51937,com.sec.android.app.shealth,5569536,86400000,6170768e-5fec-4862-96c1-66c00ab3cad9,2025-02-17 00:00:00.000,
0,62930070,0,1679000,6110,300,3671190,90,0,62930070,2025-03-15 13:51:54.410,10,2025-03-09 03:19:04.577,0.0,30,30,-1,900000,66,7,0,8,4753.12,0,250.52998,1da4c61b-24ed-4676-9c40-4a377918cd06.extra_data.json,5sl+lZ1Pby,23980,com.sec.android.app.shealth,3647210,86400000,1da4c61b-24ed-4676-9c40-4a377918cd06,2025-02-16 00:00:00.000,
0,62930070,0,1737000,9820,300,6350664,90,0,62930070,2025-03-14 11:15:07.343,10,2025-03-09 03:19:04.608,0.0,30,30,-1,902709,116,14,0,8,7340.592,720000,429.26785,7f602669-e8d5-442c-91f9-876c73ecc66f.extra_data.json,5sl+lZ1Pby,45915,com.sec.android.app.shealth,6304749,86400000,7f602669-e8d5-442c-91f9-876c73ecc66f,2025-02-15 00:00:00.000,
