com.samsung.shealth.badge,6311013,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-07-21 04:27:57.667,,,1,,2023-07-21 09:27:57.675,2023-07-21 09:27:57.675,,sleep_goal_first_sleep,,,UTC+0000,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2023-07-21 04:27:57.667,b458cd91-94f0-4611-9784-26ac704dec3e,
,2023-10-24 11:03:32.319,,,1,,2023-10-24 11:03:32.933,2023-10-24 11:03:32.933,,weight_first_body_check,,,UTC-0500,,v8fPmWJTef,com.sec.android.app.shealth,,tracker.weight,2023-10-24 11:03:32.319,3f98a1f8-6611-4d62-bb49-d0ab4afe9d38,
,2024-03-03 12:49:14.761,1002,,1,,2024-03-03 13:04:01.206,2024-03-03 13:04:01.206,,running_first_run,,,UTC-0500,,v8fPmWJTef,com.sec.android.app.shealth,4bda31eb-dd64-4d34-bc48-13741c67b453,tracker.exercise,2024-03-03 13:04:00.546,c437f46e-8643-408e-8f95-a1c04e5af363,
,2023-12-30 00:00:00.000,,,1,adf38e21-3131-4d28-a8d2-ad4dc20b967a,2024-03-08 19:01:39.904,2024-03-08 19:01:39.904,,sleep_coaching_completion_penguin,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-01-19 00:00:00.000,7eddf103-ac3a-447d-a20d-1b02d0aae86c,
,2024-03-10 00:00:00.000,,,1,cdb9bcb4-3c21-4284-ba60-4d5fd65330e5,2024-04-30 10:40:44.816,2024-04-30 10:40:44.816,,sleep_coaching_completion_lion,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-03-30 00:00:00.000,ce7ab2c1-b5ea-4161-a631-50541c88c40e,
1,2024-07-19 05:00:00.000,,,1,,2024-07-19 08:33:07.786,2024-07-19 08:33:07.786,,sleep_good_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-07-20 04:59:59.999,99f2c507-e538-4b8a-bd9b-90b1bc65ef55,
1,2024-07-21 05:00:00.000,,,1,,2024-07-21 13:19:28.259,2024-07-21 13:19:28.259,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-07-22 04:59:59.999,9ef13dd0-ba2d-4e75-bc59-466fa3494108,
1,2024-07-22 05:00:00.000,,,1,,2024-07-22 10:57:46.303,2024-07-22 10:57:46.303,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-07-23 04:59:59.999,9c8287bb-6fca-49ae-9fac-9ce7f8e0a24e,
1,2024-07-25 05:00:00.000,,,1,,2024-07-25 11:51:30.321,2024-07-25 11:51:30.321,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-07-26 04:59:59.999,e54cc698-0ca9-4eb1-9ca3-7358b8617787,
1,2024-08-06 05:00:00.000,,,1,,2024-08-06 12:06:51.328,2024-08-06 12:06:51.328,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-08-07 04:59:59.999,0ebff297-b2d0-4bba-a4bd-f69f5af3b9f7,
1,2024-08-08 05:00:00.000,,,1,,2024-08-08 13:09:12.689,2024-08-08 13:09:12.689,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-08-09 04:59:59.999,da35782d-ddf9-462b-818a-0be0271f4eb0,
1,2024-08-14 05:00:00.000,,,1,,2024-08-14 12:14:57.767,2024-08-14 12:14:57.767,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-08-15 04:59:59.999,2aa580ec-70ba-4df6-b901-4c799aa8bc1b,
1,2024-08-20 05:00:00.000,,,1,,2024-08-20 10:37:30.569,2024-08-20 10:37:30.569,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-08-21 04:59:59.999,36d3e6a3-14b4-4f46-b9f0-7de6dae4ce83,
1,2024-08-27 05:00:00.000,,,1,,2024-08-27 22:23:13.606,2024-08-27 22:23:13.606,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-08-28 04:59:59.999,5ae33a41-97d3-4143-bb5e-d560de09f23e,
1,2024-09-05 05:00:00.000,,,1,,2024-09-05 12:22:18.916,2024-09-05 12:22:18.916,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-09-06 04:59:59.999,0dad70d9-5ef3-4fc2-9163-c0ba45cb7980,
1,2024-09-06 05:00:00.000,,,1,,2024-09-06 11:14:30.147,2024-09-06 11:14:30.147,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-09-07 04:59:59.999,f813c01b-c0c2-494b-b565-cc63eaa37897,
1,2024-09-15 05:00:00.000,,,1,,2024-09-15 13:27:26.071,2024-09-15 13:27:26.071,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-09-16 04:59:59.999,2b9cab0d-cac9-421d-9d1b-0e6a9ec90c50,
1,2024-09-18 05:00:00.000,,,1,,2024-09-18 11:13:23.214,2024-09-18 11:13:23.214,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-09-19 04:59:59.999,745284e6-1aad-49eb-9331-83e647791642,
1,2024-09-23 05:00:00.000,,,1,,2024-09-23 10:36:00.324,2024-09-23 10:36:00.324,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-09-24 04:59:59.999,98697cc3-b671-4735-b4b0-acaab17da836,
1,2024-09-27 05:00:00.000,,,1,,2024-09-27 11:12:52.402,2024-09-27 11:12:52.402,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-09-28 04:59:59.999,9193d662-a7f9-4022-b883-9f0a2231ffa7,
1,2024-09-29 05:00:00.000,,,1,,2024-09-29 12:27:22.981,2024-09-29 12:27:22.981,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-09-30 04:59:59.999,459b3c35-5c9d-4c9c-b68c-3a84bf88c961,
1,2024-10-05 05:00:00.000,,,1,,2024-10-05 11:31:44.762,2024-10-05 11:31:44.762,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-10-06 04:59:59.999,17e62802-3cbd-4612-9cbc-bd37631dcff5,
1,2024-10-08 05:00:00.000,,,1,,2024-10-08 10:50:46.748,2024-10-08 10:50:46.748,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-10-09 04:59:59.999,5ce042eb-2bb2-41ee-bd25-fc204f960947,
1,2024-10-09 05:00:00.000,,,1,,2024-10-09 10:44:40.994,2024-10-09 10:44:40.994,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-10-10 04:59:59.999,8586508a-7f61-464c-aa0e-21934591c156,
1,2024-10-16 05:00:00.000,,,1,,2024-10-16 13:04:41.124,2024-10-16 13:04:41.124,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-10-17 04:59:59.999,77fb1b21-3a2c-4335-afa1-9e9f288e0811,
1,2024-10-19 05:00:00.000,,,1,,2024-10-20 11:31:52.184,2024-10-20 11:31:52.184,,sleep_excellent_sleep,,,UTC-0500,,AxW6kiZDC9,com.sec.android.app.shealth,,Sleep.Goal,2024-10-20 04:59:59.999,b9234ba1-365c-4689-bd59-6ca967190a8b,
