com.samsung.shealth.best_records,6311013,3
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_data,extra_type,deviceuuid,pkg_name,controller_id,datauuid
61e342dc-8fe0-473d-a900-cc0292f87fe5,-1,2023-06-15 04:29:47.425,2022-10-30 18:13:08.737,,1666995039786,4,2.738,,,-1,TSz5cXWOpN,com.sec.android.app.shealth,tracker.sport_walking,e2017e3e-131e-4631-b95b-83bd102de546,
61e342dc-8fe0-473d-a900-cc0292f87fe5,-1,2023-06-15 04:29:47.425,2022-10-30 18:13:08.838,,1666995039786,3,15568.83,,,-1,TSz5cXWOpN,com.sec.android.app.shealth,tracker.sport_walking,e21d934d-33e7-4c44-a706-3c207c25102b,
99b92921-ffab-40e9-868a-6f83890b5f24,-1,2023-06-15 04:29:47.438,2022-02-14 12:49:21.438,,1644824053506,4,1.964,,,-1,yJFPNrhfsu,com.sec.android.app.shealth,tracker.sport_walking,23c212fa-ad6c-4119-8e9b-8a8636ab4378,
925a784a-ffaa-46ce-9910-c59b8f678390,-1,2023-06-15 04:29:47.430,2022-03-16 11:27:24.596,,1647409321548,2,198.34004,,,0,yJFPNrhfsu,com.sec.android.app.shealth,tracker.sport_others,1f52690d-9d58-42bc-bbd3-47abb54c9082,
925a784a-ffaa-46ce-9910-c59b8f678390,-1,2023-06-15 04:29:47.430,2022-03-16 11:27:24.508,,1647409321548,1,2697388.0,,,0,yJFPNrhfsu,com.sec.android.app.shealth,tracker.sport_others,8b5afd27-06ef-42bf-87c4-0f09a5001b15,
61e342dc-8fe0-473d-a900-cc0292f87fe5,-1,2023-06-15 04:29:47.425,2022-10-30 18:13:08.827,,1666995039786,2,1104.466,,,-1,TSz5cXWOpN,com.sec.android.app.shealth,tracker.sport_walking,c1f6e115-4468-4759-a9e3-e573cb635b6c,
99b92921-ffab-40e9-868a-6f83890b5f24,-1,2023-06-15 04:29:47.438,2022-02-14 12:49:21.527,,1644824053506,2,80.37,,,-1,yJFPNrhfsu,com.sec.android.app.shealth,tracker.sport_walking,5911114e-ebff-44a0-b874-3c2ff53509e9,
99b92921-ffab-40e9-868a-6f83890b5f24,-1,2023-06-15 04:29:47.438,2022-02-14 12:49:21.553,,1644824053506,3,1202.456,,,-1,yJFPNrhfsu,com.sec.android.app.shealth,tracker.sport_walking,9353312f-51dc-438c-82ad-bc936a499fb6,
99b92921-ffab-40e9-868a-6f83890b5f24,-1,2023-06-15 04:29:47.438,2022-02-14 12:49:21.505,,1644824053506,1,893700.0,,,-1,yJFPNrhfsu,com.sec.android.app.shealth,tracker.sport_walking,c894cda1-35fb-4328-a7bf-708ea78d0dd9,
61e342dc-8fe0-473d-a900-cc0292f87fe5,-1,2023-06-15 04:29:47.425,2022-10-30 18:13:08.788,,1666995039786,1,8135057.0,,,-1,TSz5cXWOpN,com.sec.android.app.shealth,tracker.sport_walking,20eb17c6-1e55-46b1-8446-673045440007,
