com.samsung.shealth.service_preferences,6311013,1
text_value,service_id,float_value,update_time,create_time,long_value,key,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2025-03-09 03:19:03.358,2025-03-09 03:19:03.358,,oobe.completed,,,1,5sl+lZ1Pby,com.sec.android.app.shealth,,efe2baee-9d37-44ea-8f76-94b649505e07,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0}",app.settings,,2025-03-27 10:16:46.519,2025-03-09 03:31:25.914,,psm_plus_settings,,,,jkrxtcKrsf,com.sec.android.app.shealth,,0723f3d1-77c9-45d6-9f7e-00a58d26bd4f,
,app.settings,,2025-04-03 07:07:14.745,2025-03-09 03:31:25.985,,psm_plus_enable,,,0,jkrxtcKrsf,com.sec.android.app.shealth,,886ffa9f-ce6c-4a60-8f2a-57570b429aba,
,tracker.daily_activity,,2025-03-09 04:04:00.923,2025-03-09 04:04:00.923,1741475040916,daily_activity_yesterday_all_target_checked_time,,,,jkrxtcKrsf,com.sec.android.app.shealth,,470761be-f261-48d1-bb75-09e41ab1215d,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0}",app.settings,,2026-03-19 07:09:53.255,2025-03-09 12:56:20.037,,psm_plus_settings_new,,,,jkrxtcKrsf,com.sec.android.app.shealth,,psm_plus_settings_new,
,app.settings,,2026-03-21 00:20:41.504,2025-03-09 12:56:20.083,,psm_plus_enable_new,,,0,jkrxtcKrsf,com.sec.android.app.shealth,,psm_plus_enable_new,
,tracker.daily_activity,,2026-03-21 08:16:08.964,2025-03-09 13:16:22.934,1774080968959,da_yesterday_all_checked_time,,,,jkrxtcKrsf,com.sec.android.app.shealth,,da_yesterday_all_checked_time,
,tracker.daily_activity,,2026-03-20 15:12:53.503,2025-03-09 20:49:54.604,1774019573471,da_all_over_half_cheer_up_time,,,,jkrxtcKrsf,com.sec.android.app.shealth,,da_all_over_half_cheer_up_time,
,tracker.daily_activity,,2026-03-18 15:31:28.710,2025-03-09 21:50:40.655,1773847888697,da_active_time_achievement_time,,,,jkrxtcKrsf,com.sec.android.app.shealth,,da_active_time_achievement_time,
,tracker.daily_activity,,2026-03-18 15:50:00.612,2025-03-09 21:50:40.841,1773849000562,da_step_achievement_time,,,,jkrxtcKrsf,com.sec.android.app.shealth,,da_step_achievement_time,
,tracker.daily_activity,,2026-03-18 16:50:30.517,2025-03-09 22:03:20.904,1773852630468,da_active_calorie_achievement_time,,,,jkrxtcKrsf,com.sec.android.app.shealth,,da_active_calorie_achievement_time,
,tracker.daily_activity,,2026-03-18 16:50:30.576,2025-03-09 22:03:20.916,1773852630529,da_all_achievement_time,,,,jkrxtcKrsf,com.sec.android.app.shealth,,da_all_achievement_time,
,tracker.daily_activity,,2026-01-18 19:49:47.806,2025-03-29 21:36:45.731,1768765787801,da_all_near_cheer_up_time,,,,jkrxtcKrsf,com.sec.android.app.shealth,,da_all_near_cheer_up_time,
,tracker.daily_activity,,2026-01-04 14:31:57.917,2025-04-05 05:00:01.798,1767484800000,da_monthly_goal_first_day,,,,5sl+lZ1Pby,com.sec.android.app.shealth,,da_monthly_goal_first_day,
,tracker.cycle,,2025-09-28 06:59:51.270,2025-09-28 06:59:51.270,,cycle.shd_consent_status,,,0,5sl+lZ1Pby,com.sec.android.app.shealth,,cycle.shd_consent_status,
,tracker.medication,,2025-09-28 06:59:51.346,2025-09-28 06:59:51.346,,medication.shd_consent_status,,,0,5sl+lZ1Pby,com.sec.android.app.shealth,,medication.shd_consent_status,
,mood,,2026-03-07 04:30:14.663,2026-03-07 04:30:14.663,,meditation_supported,,,1,5sl+lZ1Pby,com.sec.android.app.shealth,,3d384bef-c82b-4372-8794-1fab46fabd97,
