com.samsung.shealth.tracker.pedometer_day_summary,6311013,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
62930070,362,5a9e4ca4-eab0-4b70-b63c-5e158ef75b7f.binning_data.json,204197,9000,62930070,0,2025-03-09 11:42:04.950,com.sec.android.app.shealth,2025-03-09 04:19:55.072,5a9e4ca4-eab0-4b70-b63c-5e158ef75b7f.source_info.json,1.3372341,273.06,13.37,362,VfS0qUERdZ,com.sec.android.app.shealth,0,5a9e4ca4-eab0-4b70-b63c-5e158ef75b7f.achievement.json,5a9e4ca4-eab0-4b70-b63c-5e158ef75b7f,1741392000000,
62930070,119,e8192d1e-610a-493d-89b2-5a07025a44bd.binning_data.json,67062,9000,62930070,0,2025-03-09 11:42:06.162,com.sec.android.app.shealth,2025-03-09 05:28:42.637,,1.339052,89.799995,4.43,119,jkrxtcKrsf,com.sec.android.app.shealth,0,e8192d1e-610a-493d-89b2-5a07025a44bd.achievement.json,e8192d1e-610a-493d-89b2-5a07025a44bd,1741392000000,
,4106,bd2efca1-87f8-48a2-b119-88a954acdb5e.binning_data.json,2255727,6000,,193,2022-02-12 05:00:00.865,com.sec.android.app.shealth,2022-02-12 05:00:00.865,,1.4055198,3170.4697,161.60999,3913,yJFPNrhfsu,com.sec.android.app.shealth,0,bd2efca1-87f8-48a2-b119-88a954acdb5e.achievement.json,bd2efca1-87f8-48a2-b119-88a954acdb5e,1644537600000,
,4506,3b10454f-985f-4d71-9e6a-334296122708.binning_data.json,2449149,6000,,186,2022-02-12 14:37:20.637,com.sec.android.app.shealth,2022-02-12 01:56:31.707,3b10454f-985f-4d71-9e6a-334296122708.source_info.json,1.4037488,3437.9905,169.23991,4320,VfS0qUERdZ,com.sec.android.app.shealth,0,3b10454f-985f-4d71-9e6a-334296122708.achievement.json,3b10454f-985f-4d71-9e6a-334296122708,1644537600000,
,4274,4473e44a-1c8c-40be-b64e-435ba0e0dc71.binning_data.json,2325430,6000,,154,2022-02-13 05:00:02.512,com.sec.android.app.shealth,2022-02-12 05:00:01.124,,1.4032545,3263.1711,155.50995,4120,JV8/RZtlzk,com.sec.android.app.shealth,0,4473e44a-1c8c-40be-b64e-435ba0e0dc71.achievement.json,4473e44a-1c8c-40be-b64e-435ba0e0dc71,1644537600000,
,7163,93fa9011-35d7-42be-88d2-0e4022baa097.binning_data.json,3942939,6000,,92,2022-02-13 05:00:01.503,com.sec.android.app.shealth,2022-02-13 05:00:01.503,,1.3852507,5461.96,261.44,7071,yJFPNrhfsu,com.sec.android.app.shealth,0,93fa9011-35d7-42be-88d2-0e4022baa097.achievement.json,93fa9011-35d7-42be-88d2-0e4022baa097,1644624000000,
,9911,839b8157-b9b2-4f70-a096-3ff5aff3129a.binning_data.json,5396480,6000,,323,2022-02-13 09:52:29.788,com.sec.android.app.shealth,2022-02-12 05:08:36.414,839b8157-b9b2-4f70-a096-3ff5aff3129a.source_info.json,1.4039582,7576.432,365.20984,9588,VfS0qUERdZ,com.sec.android.app.shealth,0,839b8157-b9b2-4f70-a096-3ff5aff3129a.achievement.json,839b8157-b9b2-4f70-a096-3ff5aff3129a,1644624000000,
,8712,4b045d1d-a167-4a3a-90db-f390ca992d2b.binning_data.json,4661578,6000,,313,2022-02-14 05:00:01.701,com.sec.android.app.shealth,2022-02-13 05:00:02.569,,1.4339545,6684.492,318.16986,8399,JV8/RZtlzk,com.sec.android.app.shealth,0,4b045d1d-a167-4a3a-90db-f390ca992d2b.achievement.json,4b045d1d-a167-4a3a-90db-f390ca992d2b,1644624000000,
,2940,52fe5dbb-ba74-4e88-9021-ab0d1e0e7a16.binning_data.json,1597089,6000,,0,2022-02-14 05:00:00.938,com.sec.android.app.shealth,2022-02-14 05:00:00.938,,1.4098526,2251.66,102.22,2940,yJFPNrhfsu,com.sec.android.app.shealth,0,52fe5dbb-ba74-4e88-9021-ab0d1e0e7a16.achievement.json,52fe5dbb-ba74-4e88-9021-ab0d1e0e7a16,1644710400000,
,6628,c2fce045-8c3b-437a-9bad-d63af973968b.binning_data.json,3568278,6000,,196,2022-02-14 06:09:56.781,com.sec.android.app.shealth,2022-02-13 10:34:31.596,c2fce045-8c3b-437a-9bad-d63af973968b.source_info.json,1.4273629,5093.2285,243.38011,6432,VfS0qUERdZ,com.sec.android.app.shealth,0,c2fce045-8c3b-437a-9bad-d63af973968b.achievement.json,c2fce045-8c3b-437a-9bad-d63af973968b,1644710400000,
,14542,411ecd57-7f8d-4470-adf5-db0fbe8a04bb.binning_data.json,7952431,6000,,314,2022-02-15 03:55:40.949,com.sec.android.app.shealth,2022-02-14 06:09:55.938,411ecd57-7f8d-4470-adf5-db0fbe8a04bb.source_info.json,1.377337,10953.178,516.54126,14228,VfS0qUERdZ,com.sec.android.app.shealth,0,411ecd57-7f8d-4470-adf5-db0fbe8a04bb.achievement.json,411ecd57-7f8d-4470-adf5-db0fbe8a04bb,1644796800000,
,6401,35a6b5f4-688d-4c1e-b28f-b9c43236ef61.binning_data.json,3423852,6000,,196,2022-02-15 05:00:01.898,com.sec.android.app.shealth,2022-02-14 05:00:01.692,,1.4393696,4928.1885,234.73012,6205,JV8/RZtlzk,com.sec.android.app.shealth,0,35a6b5f4-688d-4c1e-b28f-b9c43236ef61.achievement.json,35a6b5f4-688d-4c1e-b28f-b9c43236ef61,1644710400000,
