com.samsung.shealth.tracker.pedometer_step_count,6311013,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4127,4,0,10,2026-02-17 01:03:00.000,,,2026-02-17 01:03:48.442,2026-02-17 01:03:48.442,10,1.6111113,6.65,0.3,UTC+0000,jkrxtcKrsf,com.sec.android.app.shealth,2026-02-17 01:04:00.000,9606fd8c-6e17-42d2-9e30-d1db9ac47235,
5288,4,0,10,2026-02-17 01:23:00.000,,,2026-02-17 01:23:23.111,2026-02-17 01:23:23.111,10,1.6111112,8.52,0.41,UTC+0000,jkrxtcKrsf,com.sec.android.app.shealth,2026-02-17 01:24:00.000,8c236412-ee50-4c19-bc5b-3b5daa4f0a8b,
4943,4,0,13,2026-02-17 08:04:00.000,,,2026-02-17 08:05:23.154,2026-02-17 08:05:23.154,13,1.9722222,9.75,0.35,UTC+0000,jkrxtcKrsf,com.sec.android.app.shealth,2026-02-17 08:05:00.000,b56043ec-285e-4bf2-963f-ba0902d62088,
14084,4,0,23,2026-02-17 09:35:00.000,,,2026-02-17 09:53:01.692,2026-02-17 09:53:01.692,23,1.3611112,19.17,0.86,UTC+0000,5sl+lZ1Pby,com.sec.android.app.shealth,2026-02-17 09:36:00.000,99c491fc-6ba3-4d6f-b617-72a09707ce41,
9492,4,0,17,2026-02-17 09:36:00.000,,,2026-02-17 09:53:01.716,2026-02-17 09:53:01.716,17,1.3611112,12.92,0.53,UTC+0000,5sl+lZ1Pby,com.sec.android.app.shealth,2026-02-17 09:37:00.000,bee1f0fb-8a79-4d54-8faa-a3c84a6e3f36,
48468,4,0,91,2026-02-17 11:16:00.000,,,2026-02-17 11:16:59.662,2026-02-17 11:16:05.722,91,1.4405079,69.819954,2.6799984,UTC+0000,5sl+lZ1Pby,com.sec.android.app.shealth,2026-02-17 11:17:00.000,d60f6fcf-cd1d-4c2d-b681-ccb11b6ea042,
55354,4,0,106,2026-02-17 11:17:00.000,,,2026-02-17 11:18:19.466,2026-02-17 11:17:00.278,106,1.4829751,82.090004,3.1799998,UTC+0000,5sl+lZ1Pby,com.sec.android.app.shealth,2026-02-17 11:18:00.000,87a54b0f-3123-4865-bf9b-c857c44f7abd,
45618,4,10,87,2026-02-17 11:18:00.000,,,2026-02-17 11:20:32.706,2026-02-17 11:18:19.479,97,2.0506942,93.549995,4.299999,UTC+0000,5sl+lZ1Pby,com.sec.android.app.shealth,2026-02-17 11:19:00.000,fc12f990-2f87-43bf-b94f-d6fef38a97ef,
54373,4,0,102,2026-02-17 11:19:00.000,,,2026-02-17 11:20:32.723,2026-02-17 11:20:32.723,102,1.4444444,78.54,3.06,UTC+0000,5sl+lZ1Pby,com.sec.android.app.shealth,2026-02-17 11:20:00.000,c7692ade-ccec-4694-be35-1a8102a763ac,
41693,4,0,74,2026-02-17 11:20:00.000,,,2026-02-17 11:24:08.141,2026-02-17 11:20:32.748,74,1.3539294,56.44999,2.2299998,UTC+0000,5sl+lZ1Pby,com.sec.android.app.shealth,2026-02-17 11:21:00.000,620b9365-d426-4457-b770-910aecaf4687,
