com.samsung.shealth.vitality.nap_data,6311013,1
create_sh_ver,start_time,modify_sh_ver,update_time,create_time,time_offset,vitality_day_time,deviceuuid,pkg_name,score_before,end_time,datauuid,score_after
63051050,2025-09-28 04:21:00.000,63051050,2025-09-28 06:00:17.271,2025-09-28 06:00:17.271,UTC+0100,1759017600000,5sl+lZ1Pby,com.sec.android.app.shealth,71.61398,2025-09-28 04:59:00.000,526fbf14-0be5-41ef-a4c9-6950cfa264e1,78.79187,
63051050,2025-09-28 05:27:00.000,63051050,2025-09-28 06:00:17.279,2025-09-28 06:00:17.279,UTC+0100,1759017600000,5sl+lZ1Pby,com.sec.android.app.shealth,78.79187,2025-09-28 06:00:00.000,b44bdcf6-cbcc-4766-aa1e-5541234ea176,78.79187,
63051050,2025-10-14 09:20:00.000,63051050,2025-10-14 11:24:19.931,2025-10-14 11:24:19.931,UTC+0100,1760400000000,5sl+lZ1Pby,com.sec.android.app.shealth,81.37694,2025-10-14 10:59:00.000,b78526e1-657c-43fc-b4b8-494ec6fc030e,85.867455,
63051050,2025-10-22 18:28:00.000,63051050,2025-10-22 20:19:33.499,2025-10-22 20:19:33.499,UTC+0100,1761091200000,5sl+lZ1Pby,com.sec.android.app.shealth,74.85532,2025-10-22 19:56:00.000,edf2e4b8-ef72-4bb6-a563-ad3643b85639,74.85532,
63051050,2025-11-14 06:01:00.000,63051050,2025-11-14 07:00:23.448,2025-11-14 07:00:23.448,UTC+0000,1763078400000,5sl+lZ1Pby,com.sec.android.app.shealth,67.34164,2025-11-14 07:00:00.000,73953a17-489c-4550-ae30-91b0f690e7be,74.513985,
63060070,2025-11-22 06:39:00.000,63060070,2025-11-22 06:50:15.224,2025-11-22 06:50:15.224,UTC+0000,1763769600000,5sl+lZ1Pby,com.sec.android.app.shealth,83.05433,2025-11-22 06:50:00.000,1bebe436-5c75-4616-a9b6-efde569cfbab,85.33321,
63060070,2025-11-24 06:14:00.000,63060070,2025-11-24 06:37:32.577,2025-11-24 06:37:32.577,UTC+0000,1763942400000,5sl+lZ1Pby,com.sec.android.app.shealth,74.851524,2025-11-24 06:37:00.000,2510505c-2fc0-4255-a4d1-8dc7fc8b984b,79.10266,
63060070,2025-11-28 06:42:00.000,63060070,2025-11-28 07:40:15.933,2025-11-28 07:40:15.933,UTC+0000,1764288000000,5sl+lZ1Pby,com.sec.android.app.shealth,84.27739,2025-11-28 07:40:00.000,7c61decf-a30d-4fc2-a893-120976cdf6d6,89.62856,
63060070,2025-12-01 07:01:00.000,63060070,2025-12-01 08:34:42.939,2025-12-01 08:34:42.939,UTC+0000,1764547200000,5sl+lZ1Pby,com.sec.android.app.shealth,86.24576,2025-12-01 08:34:00.000,357ad500-956f-4c66-8683-99cb5872aa54,91.746315,
63070030,2026-01-04 05:01:00.000,63070030,2026-01-04 07:39:15.493,2026-01-04 07:39:15.493,UTC+0100,1767484800000,5sl+lZ1Pby,com.sec.android.app.shealth,72.50633,2026-01-04 07:39:00.000,497689c6-2e56-42ee-888e-9d0a9c904f22,79.731064,
