com.samsung.shealth.vitality_score,6311013,4
activity_level,activity_score,create_sh_ver,active_time_scale,activity_balance_short_term_activity,activity_balance_long_term_activity,shr_balance_scale,mvpa_time_optimal_range_max,mvpa_time_optimal_range_min,max_hr,active_time,shrv_balance_scale,main_sleep_wake_up_time,mvpa_impulse_optimal_range_max,mvpa_impulse_optimal_range_min,shr_baseline_max,shr_baseline_min,shr_calculation_index,mvpa_time,skin_temperature_scale,modify_sh_ver,sleep_balance,update_time,create_time,total_score,data_version,avg_mid_sleep_time,mvpa_time_range_max,mvpa_time_range_min,mvpa_impulse,shrv_calculation_index,sleep_regularity_scale,stable_hr_time_rate,active_time_optimal_range_max,active_time_optimal_range_min,sleep_timing,shr_score,shr_value,mvpa_impulse_scale,sleep_regularity,sleep_timing_scale,prev_shrv_avg,mvpa_time_scale,deviceuuid,sleep_score,sleep_duration_scale,activity_balance,activity_balance_range_max,activity_balance_range_min,mvpa_impulse_range_max,mvpa_impulse_range_min,pkg_name,sleep_balance_scale,shrv_score,shrv_value,sleep_duration,skin_temperature_optimal_range_max,skin_temperature_optimal_range_min,activity_balance_scale,active_time_range_max,active_time_range_min,shrv_baseline_max,shrv_baseline_min,datauuid,prev_shr_avg,day_time,shrv_penalty,activity_balance_optimal_range_max,activity_balance_optimal_range_min
180003,49.487152,62850050,69.489006,,,75.565506,,,193.0,3080725,90.093925,1735625700000,,,59.1677,56.05361,-1,0,,62850050,4.1155605,2024-12-31 11:57:07.600,2024-12-31 11:57:07.600,68.943535,1,3.7722223,,,-1.0,-1,81.8072,0.37064677,,,23.55,75.565506,62.10569,-1.0,1.7983704,90.5,46.968685,76.37931,AxW6kiZDC9,68.68657,89.583336,,,,,,com.sec.android.app.shealth,70.13244,90.093925,55.64331,26300000,,,,,,60.710304,42.659252,42153ca0-32b4-4e92-8f5c-8142648cacf8,62.28179,2024-12-31 00:00:00.000,0,,,
180003,76.35618,62850050,98.762024,,,85.25175,,,193.0,7056394,95.69196,1735718010000,,,58.670578,55.582653,-1,103000,,62850050,3.8104386,2025-01-01 13:48:42.180,2025-01-01 13:48:42.180,83.519135,1,3.8309524,,,126.51457,-1,80.618416,0.66816646,,,0.48333332,85.25175,58.61875,93.09729,1.6711708,85.16667,60.18451,77.444824,AxW6kiZDC9,83.05325,89.803566,,,,,,com.sec.android.app.shealth,67.99373,95.69196,65.0963,26352857,,,,,,79.0892,54.324734,727c97c2-680c-4215-98b8-4dc74a961c2d,61.758503,2025-01-01 00:00:00.000,0,,,
180003,71.111916,62850050,85.65546,,,85.44204,,,193.0,5536033,94.884834,1735795350000,,,57.594448,54.56316,-1,483485,,62850050,3.4616456,2025-01-02 11:30:50.072,2025-01-02 11:30:50.072,84.20152,1,3.3833334,,,139.19868,-1,81.088165,0.97746146,,,22.35,85.44204,57.50512,96.70465,1.7214335,81.75,63.08768,81.38088,AxW6kiZDC9,88.282776,97.71428,,,,,,com.sec.android.app.shealth,65.54892,94.884834,69.32096,28251428,,,,,,83.16507,56.878227,7a66d816-883f-44c4-8f5f-9b5a9b1f22a6,60.625736,2025-01-02 00:00:00.000,0,,,
180003,62.456245,62850050,53.099922,,,78.85007,,,193.0,13824106,91.78772,1735876500000,,,57.94844,54.89852,-1,1082926,,62850050,3.6348617,2025-01-03 09:26:54.506,2025-01-03 09:26:54.506,73.232925,1,3.1595237,,,128.00151,-1,82.17131,0.67375886,,,23.216667,78.85007,59.82412,94.292786,1.8373302,87.16667,61.91131,88.872986,AxW6kiZDC9,64.13802,92.32143,,,,,,com.sec.android.app.shealth,66.76305,91.78772,58.512115,26957142,,,,,,81.51199,55.843918,3fe15d27-e523-48f7-acbe-d0aca6a14d8b,60.99836,2025-01-03 00:00:00.000,0,,,
180003,60.15643,62850050,82.38677,,,70.07703,,,193.0,5005298,98.8712,1735972230000,,,56.404575,53.435913,-1,164000,,62850050,1.8793453,2025-01-04 12:03:22.464,2025-01-04 12:03:22.464,76.84163,1,2.5404763,,,127.76218,-1,99.03807,0.7342583,,,22.7,70.07703,60.34754,94.100365,1.0013822,83.5,61.791332,78.07587,AxW6kiZDC9,82.86655,79.27381,,,,,,com.sec.android.app.shealth,80.05841,98.8712,61.313797,23138571,,,,,,81.34348,55.73838,5eed72d7-eb89-465a-9471-163cacc4073e,59.373238,2025-01-04 00:00:00.000,0,,,
180003,35.59599,62850050,51.51803,,,76.67049,,,193.0,253990,98.028275,1736059680000,,,56.402344,53.433796,-1,0,,62850050,1.6545135,2025-01-05 12:22:14.575,2025-01-05 12:22:14.575,71.5251,1,2.5642858,,,-1.0,-1,99.3776,0.79466665,,,0.55,76.67049,58.875,-1.0,1.025602,99.5,62.613773,76.37931,AxW6kiZDC9,81.75995,75.89286,,,,,,com.sec.android.app.shealth,78.653206,98.028275,64.92537,21921428,,,,,,82.49887,56.4616,a37fc189-a829-4f3c-a0ee-84ed67ccc71d,59.370888,2025-01-05 00:00:00.000,0,,,
180003,35.85822,62850050,51.780254,,,84.26935,,,193.0,307352,93.51111,1736143620000,,,56.135124,53.18064,-1,0,,62850050,1.0718015,2025-01-06 20:17:52.833,2025-01-06 20:17:52.833,78.40563,1,2.6833334,,,-1.0,-1,97.60198,0.7617108,,,21.933332,84.26935,56.350994,-1.0,0.8989412,79.666664,63.877438,76.37931,AxW6kiZDC9,94.435425,83.678566,,,,,,com.sec.android.app.shealth,75.01126,93.51111,72.013275,24724285,,,,,,84.27602,57.572323,af35a745-afbb-438b-8bbd-11fca917e19b,59.089603,2025-01-06 00:00:00.000,0,,,
180003,57.702957,62850050,80.87096,,,80.74098,,,193.0,4741547,93.76604,1736233560000,,,55.39257,52.47717,-1,9000,,62850050,1.0855185,2025-01-07 12:31:45.063,2025-01-07 12:31:45.063,79.6897,1,2.8285716,,,124.0,-1,99.00183,0.07329843,,,0.73333335,80.74098,56.634243,91.07558,0.99879754,97.666664,66.64356,76.47241,AxW6kiZDC9,84.5655,83.20238,,,,,,com.sec.android.app.shealth,75.09699,93.76604,74.86663,24552857,,,,,,88.17432,60.001804,82313418-87a4-4612-8262-88e2c2cb484f,58.30797,2025-01-07 00:00:00.000,0,,,
180003,41.29394,62850050,57.21599,,,50.55732,,,193.0,1413476,67.16675,1736400660000,,,56.678757,53.695663,-1,0,,62850050,1.2099168,2025-01-09 17:14:03.776,2025-01-09 17:14:03.776,61.73069,1,2.563889,,,-1.0,-1,98.099,0.9700214,,,21.733334,50.55732,65.93921,-1.0,0.9343952,78.66667,63.049488,76.37931,AxW6kiZDC9,92.07092,83.48611,,,,,,com.sec.android.app.shealth,75.87448,67.16675,48.551403,24655000,,,,,,83.11135,56.844635,70898c2b-cc50-4995-b10b-d2fd6fbbf581,59.66185,2025-01-09 00:00:00.000,0,,,
180003,60.421577,62850050,83.56681,,,66.478455,,,193.0,5210624,86.39526,1736487390000,,,56.971584,53.97308,-1,45000,,62850050,0.86122316,2025-01-10 11:54:19.055,2025-01-10 11:54:19.055,74.6488,1,2.7305558,,,125.355545,-1,96.5565,0.9602195,,,23.533333,66.478455,61.673553,92.165436,0.8243639,90.33333,62.807964,76.844826,AxW6kiZDC9,81.85289,86.16667,,,,,,com.sec.android.app.shealth,97.07322,86.39526,57.18018,25480000,,,,,,82.77182,56.63233,af0f9534-4092-4663-934a-915704c2762a,59.97009,2025-01-10 00:00:00.000,0,,,
